"country","value_","yearly_avg_temp","year_"
"Denmark","71429.972","-17.87033333333333",1990
"Denmark","82054.152","-17.827916666666663",1991
"Denmark","76040.82","-19.000416666666666",1992
"Denmark","78197.697","-18.716166666666666",1993
"Denmark","82105.132","-18.085416666666667",1994
"Denmark","79174.867","-17.69783333333333",1995
"Denmark","92340.46","-16.80566666666667",1996
"Denmark","82916.566","-17.455333333333336",1997
"Denmark","78885.857","-16.620916666666663",1998
"Denmark","76380.864","-17.699083333333334",1999
"Denmark","72100.872","-16.8245",2000
"Denmark","73820.461","-17.06775",2001
"Denmark","73239.917","-16.291083333333336",2002
"Denmark","78316.449","-15.747083333333334",2003
"Denmark","72333.084","-16.770583333333335",2004
"Denmark","67944.27","-15.643",2005
"Denmark","75696.14","-16.574333333333332",2006
"Denmark","71086.703","-16.533083333333334",2007
"Denmark","67493.877","-16.843333333333334",2008
"Denmark","64703.088","-16.78316666666667",2009
"Denmark","65011.358","-15.085749999999999",2010
"Denmark","59786.038","-16.641416666666665",2011
"Denmark","55194.774","-16.260916666666667",2012
"Denmark","56919.35","-14.927249999999999",2013
