country,pollutant,powercode,variable,value_,unit,year_
Australia,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,425624.307,Thousands,1990
Austria,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,78423.221,Thousands,1990
Belgium,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,145686.757,Thousands,1990
Canada,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,594722.243,Thousands,1990
Czech Republic,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,196955.242,Thousands,1990
Denmark,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,71429.972,Thousands,1990
Finland,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,71015.768,Thousands,1990
France,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,547183.229,Thousands,1990
Germany,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,1241919.234,Thousands,1990
Greece,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,103450.64,Thousands,1990
Hungary,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,94820.922,Thousands,1990
Iceland,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,3674.481,Thousands,1990
Ireland,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,54395.332,Thousands,1990
Italy,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,519907.937,Thousands,1990
Japan,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,1269901.035,Thousands,1990
Korea,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,292097.82,Thousands,1990
Luxembourg,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,12732.993,Thousands,1990
Mexico,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,467413.124,Thousands,1990
Netherlands,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,219596.541,Thousands,1990
New Zealand,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,65196.981,Thousands,1990
Norway,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,51431.791,Thousands,1990
Poland,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,475872.746,Thousands,1990
Portugal,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,58365.683,Thousands,1990
Slovak Republic,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,73374.792,Thousands,1990
Spain,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,290103.673,Thousands,1990
Sweden,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,71441.555,Thousands,1990
Switzerland,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,53566.248,Thousands,1990
TÃ¼rkiye,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,219720.001,Thousands,1990
United Kingdom,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,797015.766,Thousands,1990
United States,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,6453450.223,Thousands,1990
Chile,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,49209.47,Thousands,1990
Estonia,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,40175.175,Thousands,1990
Russia,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,3162627.605,Thousands,1990
Slovenia,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,18598.852,Thousands,1990
Lithuania,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,47860.896,Thousands,1990
Latvia,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,25868.252,Thousands,1990
OECD - Total,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,15369931,Thousands,1990
OECD - Europe,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,5584588,Thousands,1990
Brazil,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,552640.82,Thousands,1990
Colombia,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,101878.751,Thousands,1990
Costa Rica,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,8196.56,Thousands,1990
Indonesia,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,266818.39,Thousands,1990
South Africa,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,347349.36,Thousands,1990
Argentina,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,220240.77,Thousands,1990
OECD Asia Oceania,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,2110566,Thousands,1990
OECD America,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,7644361,Thousands,1990
Bulgaria,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,98356.813,Thousands,1990
Ukraine,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,942389.616,Thousands,1990
Kazakhstan,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,385602.997,Thousands,1990
Saudi Arabia,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,165268.97,Thousands,1990
Belarus,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,146151.803,Thousands,1990
Cyprus,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,5576.488,Thousands,1990
Liechtenstein,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,228.475,Thousands,1990
Monaco,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,102.739,Thousands,1990
Romania,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,248981.183,Thousands,1990
Malta,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,2599.283,Thousands,1990
Croatia,Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,31394.427,Thousands,1990
European Union â 27 countries (from 01/02/2020),Greenhouse gases,Tonnes of CO2 equivalent,Total  emissions excluding LULUCF,4846087.6,Thousands,1990
