,AverageTemperature,AverageTemperatureUncertainty,Country,Year,Month,Day
27082,22.032,0.189,Argentina,1990,1,1
27083,20.844,0.19,Argentina,1990,2,1
27084,18.194000000000003,0.24,Argentina,1990,3,1
27085,14.242,0.228,Argentina,1990,4,1
27086,10.831,0.226,Argentina,1990,5,1
27087,8.023,0.331,Argentina,1990,6,1
27088,7.880000000000001,0.154,Argentina,1990,7,1
27089,11.754,0.245,Argentina,1990,8,1
27090,11.703,0.291,Argentina,1990,9,1
27091,16.636,0.243,Argentina,1990,10,1
27092,19.229,0.269,Argentina,1990,11,1
27093,20.493,0.199,Argentina,1990,12,1
27094,21.354,0.122,Argentina,1991,1,1
27095,20.607,0.176,Argentina,1991,2,1
27096,19.525,0.147,Argentina,1991,3,1
27097,15.355,0.145,Argentina,1991,4,1
27098,12.574000000000002,0.212,Argentina,1991,5,1
27099,8.491999999999999,0.232,Argentina,1991,6,1
27100,7.849000000000001,0.171,Argentina,1991,7,1
27101,9.96,0.182,Argentina,1991,8,1
27102,13.122,0.173,Argentina,1991,9,1
27103,14.489,0.179,Argentina,1991,10,1
27104,18.241,0.142,Argentina,1991,11,1
27105,19.603,0.147,Argentina,1991,12,1
27106,21.654,0.246,Argentina,1992,1,1
27107,20.43,0.249,Argentina,1992,2,1
27108,19.646,0.251,Argentina,1992,3,1
27109,14.425999999999998,0.393,Argentina,1992,4,1
27110,10.602,0.231,Argentina,1992,5,1
27111,9.034,0.233,Argentina,1992,6,1
27112,5.74,0.192,Argentina,1992,7,1
27113,10.115,0.209,Argentina,1992,8,1
27114,12.187,0.333,Argentina,1992,9,1
27115,15.466,0.201,Argentina,1992,10,1
27116,17.313,0.23,Argentina,1992,11,1
27117,20.257,0.38,Argentina,1992,12,1
27118,21.623,0.23,Argentina,1993,1,1
27119,20.556,0.309,Argentina,1993,2,1
27120,19.902,0.166,Argentina,1993,3,1
27121,15.08,0.162,Argentina,1993,4,1
27122,10.87,0.202,Argentina,1993,5,1
27123,8.504,0.201,Argentina,1993,6,1
27124,7.106000000000001,0.241,Argentina,1993,7,1
27125,10.587,0.253,Argentina,1993,8,1
27126,12.104,0.174,Argentina,1993,9,1
27127,15.88,0.174,Argentina,1993,10,1
27128,18.273,0.183,Argentina,1993,11,1
27129,20.699,0.1689999999999999,Argentina,1993,12,1
27130,21.827,0.242,Argentina,1994,1,1
27131,20.087,0.194,Argentina,1994,2,1
27132,18.868,0.157,Argentina,1994,3,1
27133,14.640999999999998,0.214,Argentina,1994,4,1
27134,12.866,0.276,Argentina,1994,5,1
27135,10.04,0.258,Argentina,1994,6,1
27136,8.011000000000001,0.23,Argentina,1994,7,1
27137,10.329,0.248,Argentina,1994,8,1
27138,13.785,0.223,Argentina,1994,9,1
27139,15.359000000000002,0.176,Argentina,1994,10,1
27140,18.764,0.278,Argentina,1994,11,1
27141,22.367,0.199,Argentina,1994,12,1
27142,21.172,0.144,Argentina,1995,1,1
27143,19.817,0.203,Argentina,1995,2,1
27144,18.531,0.214,Argentina,1995,3,1
27145,15.018,0.331,Argentina,1995,4,1
27146,11.512,0.3229999999999999,Argentina,1995,5,1
27147,8.453,0.278,Argentina,1995,6,1
27148,7.629,0.219,Argentina,1995,7,1
27149,9.278,0.204,Argentina,1995,8,1
27150,13.009,0.203,Argentina,1995,9,1
27151,15.524,0.102,Argentina,1995,10,1
27152,19.37,0.237,Argentina,1995,11,1
27153,22.485,0.228,Argentina,1995,12,1
27154,21.089,0.1689999999999999,Argentina,1996,1,1
27155,20.087,0.17,Argentina,1996,2,1
27156,19.3,0.113,Argentina,1996,3,1
27157,14.727,0.337,Argentina,1996,4,1
27158,12.44,0.218,Argentina,1996,5,1
27159,7.114999999999998,0.419,Argentina,1996,6,1
27160,7.544,0.298,Argentina,1996,7,1
27161,11.684,0.176,Argentina,1996,8,1
27162,12.602,0.193,Argentina,1996,9,1
27163,16.155,0.163,Argentina,1996,10,1
27164,19.287,0.288,Argentina,1996,11,1
27165,20.509,0.234,Argentina,1996,12,1
27166,22.436,0.236,Argentina,1997,1,1
27167,19.921,0.128,Argentina,1997,2,1
27168,19.032,0.283,Argentina,1997,3,1
27169,16.061,0.243,Argentina,1997,4,1
27170,12.509,0.229,Argentina,1997,5,1
27171,8.962,0.252,Argentina,1997,6,1
27172,9.953,0.272,Argentina,1997,7,1
27173,11.049,0.203,Argentina,1997,8,1
27174,13.174,0.166,Argentina,1997,9,1
27175,15.524,0.147,Argentina,1997,10,1
27176,18.45,0.193,Argentina,1997,11,1
27177,20.377,0.158,Argentina,1997,12,1
27178,21.278,0.172,Argentina,1998,1,1
27179,19.509,0.238,Argentina,1998,2,1
27180,17.956,0.225,Argentina,1998,3,1
27181,14.659,0.144,Argentina,1998,4,1
27182,12.129,0.214,Argentina,1998,5,1
27183,9.102,0.205,Argentina,1998,6,1
27184,10.197,0.176,Argentina,1998,7,1
27185,10.208,0.29,Argentina,1998,8,1
27186,11.575,0.212,Argentina,1998,9,1
27187,16.914,0.21,Argentina,1998,10,1
27188,18.751,0.1689999999999999,Argentina,1998,11,1
27189,20.863000000000003,0.15,Argentina,1998,12,1
27190,21.123,0.1369999999999999,Argentina,1999,1,1
27191,21.527,0.289,Argentina,1999,2,1
27192,18.744,0.188,Argentina,1999,3,1
27193,13.646,0.178,Argentina,1999,4,1
27194,11.121,0.286,Argentina,1999,5,1
27195,7.904,0.293,Argentina,1999,6,1
27196,7.419,0.142,Argentina,1999,7,1
27197,10.5,0.115,Argentina,1999,8,1
27198,13.892,0.12,Argentina,1999,9,1
27199,15.98,0.228,Argentina,1999,10,1
27200,18.263,0.153,Argentina,1999,11,1
27201,20.66,0.183,Argentina,1999,12,1
27202,22.092,0.177,Argentina,2000,1,1
27203,20.395,0.127,Argentina,2000,2,1
27204,17.929000000000002,0.266,Argentina,2000,3,1
27205,15.438,0.141,Argentina,2000,4,1
27206,10.858,0.234,Argentina,2000,5,1
27207,8.794,0.227,Argentina,2000,6,1
27208,6.306000000000001,0.238,Argentina,2000,7,1
27209,9.887,0.23,Argentina,2000,8,1
27210,11.663,0.146,Argentina,2000,9,1
27211,15.835,0.151,Argentina,2000,10,1
27212,17.337,0.24,Argentina,2000,11,1
27213,20.472,0.199,Argentina,2000,12,1
27214,21.77,0.256,Argentina,2001,1,1
27215,22.131,0.181,Argentina,2001,2,1
27216,19.219,0.17,Argentina,2001,3,1
27217,14.678,0.186,Argentina,2001,4,1
27218,10.624,0.233,Argentina,2001,5,1
27219,8.833,0.424,Argentina,2001,6,1
27220,7.958000000000001,0.264,Argentina,2001,7,1
27221,11.543,0.129,Argentina,2001,8,1
27222,12.257,0.175,Argentina,2001,9,1
27223,16.198,0.207,Argentina,2001,10,1
27224,18.207,0.143,Argentina,2001,11,1
27225,21.027,0.158,Argentina,2001,12,1
27226,21.587,0.19,Argentina,2002,1,1
27227,20.67,0.141,Argentina,2002,2,1
27228,18.852,0.148,Argentina,2002,3,1
27229,14.4,0.233,Argentina,2002,4,1
27230,11.97,0.261,Argentina,2002,5,1
27231,6.938,0.315,Argentina,2002,6,1
